id,tid1,tid2,Ch1_zh,Ch2_zh,title1,title2,label
0,0,1,2017养老保险又新增两项，农村老人人人可申领，你领到了吗,警方辟谣“鸟巢大会每人领5万” 仍有老人坚持进京,There are two new old-age insurance benefits for old people in rural areas. Have you got them?,"Police disprove ""bird's nest congress each person gets 50,000 yuan"" still old people insist on going to beijing",unrelated
3,2,3,"""你不来深圳，早晚你儿子也要来""，不出10年深圳人均GDP将超香港",深圳GDP首超香港？深圳统计局辟谣：只是差距在缩小,"""If you do not come to Shenzhen, sooner or later your son will also come."" In less than 10 years, Shenzhen per capita GDP will exceed Hong Kong.",Shenzhen's GDP outstrips Hong Kong? Shenzhen Statistics Bureau dismisses rumors: only the gap is narrowing,unrelated
1,2,4,"""你不来深圳，早晚你儿子也要来""，不出10年深圳人均GDP将超香港",GDP首超香港？深圳澄清：还差一点点……,"""If you do not come to Shenzhen, sooner or later your son will also come."" In less than 10 years, Shenzhen per capita GDP will exceed Hong Kong.",The GDP overtopped Hong Kong? Shenzhen clarified: a little bit more......,unrelated
2,2,5,"""你不来深圳，早晚你儿子也要来""，不出10年深圳人均GDP将超香港",去年深圳GDP首超香港？深圳统计局辟谣：还差611亿,"""If you do not come to Shenzhen, sooner or later your son will also come."" In less than 10 years, Shenzhen per capita GDP will exceed Hong Kong.",Shenzhen's GDP topped Hong Kong last year? Shenzhen Bureau of Statistics refutes rumors: 61.1 billion,unrelated
9,6,7,"""用大蒜鉴别地沟油的方法,怎么鉴别地沟油",吃了30年食用油才知道，一片大蒜轻松鉴别地沟油,"""How to discriminate oil from gutter oil by means of garlic.",It took 30 years of cooking oil to know that one piece of garlic is easy to spot.,agreed
4,2,8,"""你不来深圳，早晚你儿子也要来""，不出10年深圳人均GDP将超香港",深圳GDP首超香港？统计局辟谣：未超但差距再度缩小,"""If you do not come to Shenzhen, sooner or later your son will also come."" In less than 10 years, Shenzhen per capita GDP will exceed Hong Kong.",Shenzhen's GDP overtakes Hong Kong? Bureau of Statistics refutes rumor: Unsurpass but the gap shrinks again,unrelated
6,9,10,"""吃榴莲的禁忌,吃错会致命!","榴莲不能和什么一起吃 与咖啡同吃诱发心脏病""""","""if you eat durian, you will kill yourself if you eat it wrongly!""","Durian can't eat with anything, it's the same as coffee, it's heart disease. """,unrelated
5,2,11,"""你不来深圳，早晚你儿子也要来""，不出10年深圳人均GDP将超香港",深圳GDP首超香港？辟谣：未超但差距再度缩小,"""If you do not come to Shenzhen, sooner or later your son will also come."" In less than 10 years, Shenzhen per capita GDP will exceed Hong Kong.",Shenzhen's GDP outpaces Hong Kong? Defending Rumors: The gap has narrowed yet again,unrelated
7,12,13,"""旅行青蛙？居然是一款""""生育意愿测试器”！大家还是玩""""珠宝V课""""吧""",咸宁一家店的蛋糕含有“棉花”？崇阳多部门联合辟谣,"""Frog frog? It's a fertility test! Let's play"" Jewel V "".""","A store in xianning contains ""cotton""? A multi-agency association in chongyang university",unrelated
8,6,14,"""用大蒜鉴别地沟油的方法,怎么鉴别地沟油",一颗大蒜就能鉴别地沟油？别闹了！做到下面几点，让您远离地沟油,"""How to discriminate oil from gutter oil by means of garlic.",A single piece of garlic can spot gutter oil? Come on! Do the following to keep you out of the gutter oil.,agreed
11,6,15,"""用大蒜鉴别地沟油的方法,怎么鉴别地沟油","用一颗大蒜鉴别地沟油,非常实用!""","""How to discriminate oil from gutter oil by means of garlic.","It's very practical to use a single piece of garlic to distinguish oil from oil! """,agreed
10,6,16,"""用大蒜鉴别地沟油的方法,怎么鉴别地沟油","用一颗大蒜鉴别地沟油,非常实用!","""How to discriminate oil from gutter oil by means of garlic.","Use a garlic to distinguish oil from oil, very practical!",agreed
13,6,17,"""用大蒜鉴别地沟油的方法,怎么鉴别地沟油",辨别地沟油，用一颗大蒜就能鉴别，学会了记得告诉家里人,"""How to discriminate oil from gutter oil by means of garlic.",Differential gutter oil can be identified with a single piece of garlic.,agreed
12,6,18,"""用大蒜鉴别地沟油的方法,怎么鉴别地沟油",翻炒大蒜可鉴别地沟油,"""How to discriminate oil from gutter oil by means of garlic.",stir-fried garlic to identify gutter oil,agreed
